who,tick,xcor-init-pos,ycor-init-pos,floor-id-init-pos,platform-init-pos,floor-x-init-pos,floor-y-init-pos,floor-transition,xcor-final-pos,ycor-final-pos,floor-id-final-pos,platform--final-pos,floor-x-final-pos,floor-y-final-pos,heading,crowdness-0.8,crowdness-1,crowdness-1.2,crowdness-1.4
394,82,19.80340389569213,20.659231261472314,0,0,19,20,none,19.80340389569213,20.659231261472314,0,0,19,20,164.99754981929902,0,0,0,0
394,83,19.881062001126505,20.369456834270146,0,0,19,19,none,19.881062001126505,20.369456834270146,0,0,19,19,164.99754981929902,0,0,0,0
394,84,19.95872010656088,20.079682407067978,0,0,19,19,none,19.95872010656088,20.079682407067978,0,0,19,19,164.99754981929902,0,0,0,0
394,85,20.036378211995252,19.78990797986581,0,0,19,19,none,20.036378211995252,19.78990797986581,0,0,19,19,164.99754981929902,0,0,0,0
394,86,20.114036317429626,19.50013355266364,0,0,19,19,none,20.114036317429626,19.50013355266364,0,0,19,19,164.99754981929902,0,0,0,0
394,87,20.191694422864,19.210359125461473,0,0,19,18,none,20.191694422864,19.210359125461473,0,0,19,18,164.99754981929902,0,0,0,0
394,88,20.269352528298374,18.920584698259304,0,0,19,18,none,20.269352528298374,18.920584698259304,0,0,19,18,164.99754981929902,0,0,0,0
394,89,20.347010633732747,18.630810271057136,0,0,19,18,none,20.347010633732747,18.630810271057136,0,0,19,18,164.99754981929902,0,0,0,0
394,90,20.42466873916712,18.341035843854968,0,0,19,17,none,20.42466873916712,18.341035843854968,0,0,19,17,164.99754981929902,0,0,0,0
394,91,20.502326844601495,18.0512614166528,0,0,20,17,none,20.502326844601495,18.0512614166528,0,0,20,17,164.99754981929902,0,0,0,0
394,92,20.57998495003587,17.76148698945063,0,0,20,17,none,20.57998495003587,17.76148698945063,0,0,20,17,164.99754981929902,0,0,0,0
394,93,20.657643055470242,17.471712562248463,0,0,20,16,none,20.657643055470242,17.471712562248463,0,0,20,16,164.99754981929902,0,0,0,0
394,94,20.735301160904616,17.181938135046295,0,0,20,16,none,20.735301160904616,17.181938135046295,0,0,20,16,164.99754981929902,0,0,0,0
394,95,20.81295926633899,16.892163707844126,0,0,20,16,none,20.81295926633899,16.892163707844126,0,0,20,16,164.99754981929902,0,0,0,0
394,96,20.890617371773363,16.602389280641958,0,0,20,16,none,20.890617371773363,16.602389280641958,0,0,20,16,164.99754981929902,0,0,0,0
394,97,20.968275477207737,16.31261485343979,0,0,20,15,none,20.968275477207737,16.31261485343979,0,0,20,15,164.99754981929902,0,0,0,0
394,98,21.04593358264211,16.02284042623762,0,0,20,15,none,21.04593358264211,16.02284042623762,0,0,20,15,164.99754981929902,0,0,0,0
394,99,21.123591688076484,15.733065999035455,0,0,20,15,none,21.123591688076484,15.733065999035455,0,0,20,15,164.99754981929902,0,0,0,0
394,100,21.201249793510858,15.443291571833289,0,0,20,14,none,21.201249793510858,15.443291571833289,0,0,20,14,164.99754981929902,0,0,0,0
394,101,21.27890789894523,15.153517144631122,0,0,20,14,none,21.27890789894523,15.153517144631122,0,0,20,14,164.99754981929902,0,0,0,0
394,102,21.356566004379605,14.863742717428956,0,0,20,14,none,21.356566004379605,14.863742717428956,0,0,20,14,164.99754981929902,0,0,0,0
394,103,21.43422410981398,14.573968290226789,0,0,20,14,none,21.43422410981398,14.573968290226789,0,0,20,14,164.99754981929902,0,0,0,0
394,104,21.511882215248352,14.284193863024623,0,0,21,13,none,21.511882215248352,14.284193863024623,0,0,21,13,164.99754981929902,0,0,0,0
394,105,21.589540320682726,13.994419435822456,0,0,21,13,none,21.589540320682726,13.994419435822456,0,0,21,13,164.99754981929902,0,0,0,0
394,106,21.6671984261171,13.70464500862029,0,0,21,13,none,21.6671984261171,13.70464500862029,0,0,21,13,164.99754981929902,0,0,0,0
394,107,21.744856531551473,13.414870581418123,0,0,21,12,none,21.744856531551473,13.414870581418123,0,0,21,12,164.99754981929902,0,0,0,0
394,108,21.822514636985847,13.125096154215957,0,0,21,12,none,21.822514636985847,13.125096154215957,0,0,21,12,164.99754981929902,0,0,0,0
394,109,21.90017274242022,12.83532172701379,0,0,21,12,none,21.90017274242022,12.83532172701379,0,0,21,12,164.99754981929902,0,0,0,0
394,110,21.977830847854595,12.545547299811624,0,0,21,12,none,21.977830847854595,12.545547299811624,0,0,21,12,164.99754981929902,0,0,0,0
394,111,22.055488953288968,12.255772872609457,0,0,21,11,none,22.055488953288968,12.255772872609457,0,0,21,11,164.99754981929902,0,0,0,0
394,112,22.133147058723342,11.96599844540729,0,0,21,11,none,22.133147058723342,11.96599844540729,0,0,21,11,164.99754981929902,0,0,0,0
394,113,22.210805164157716,11.676224018205124,0,0,21,11,none,22.210805164157716,11.676224018205124,0,0,21,11,164.99754981929902,0,0,0,0
394,114,22.28846326959209,11.386449591002958,0,0,21,10,none,22.28846326959209,11.386449591002958,0,0,21,10,164.99754981929902,0,0,0,0
394,115,22.366121375026463,11.096675163800791,0,0,21,10,none,22.366121375026463,11.096675163800791,0,0,21,10,164.99754981929902,0,0,0,0
394,116,22.443779480460837,10.806900736598624,0,0,21,10,none,22.443779480460837,10.806900736598624,0,0,21,10,164.99754981929902,0,0,0,0
394,117,22.52143758589521,10.517126309396458,0,0,22,10,none,22.52143758589521,10.517126309396458,0,0,22,10,164.99754981929902,0,0,0,0
394,118,22.599095691329584,10.227351882194291,0,0,22,9,none,22.599095691329584,10.227351882194291,0,0,22,9,164.99754981929902,0,0,0,0
394,119,22.676753796763958,9.937577454992125,0,0,22,9,none,22.676753796763958,9.937577454992125,0,0,22,9,164.99754981929902,0,0,0,0
394,120,22.75441190219833,9.647803027789958,0,0,22,9,none,22.75441190219833,9.647803027789958,0,0,22,9,164.99754981929902,0,0,0,0
394,121,22.832070007632705,9.358028600587792,0,0,22,8,none,22.832070007632705,9.358028600587792,0,0,22,8,164.99754981929902,0,0,0,0
394,122,22.90972811306708,9.068254173385625,0,0,22,8,none,22.90972811306708,9.068254173385625,0,0,22,8,164.99754981929902,0,0,0,0
394,123,22.987386218501452,8.778479746183459,0,0,22,8,none,22.987386218501452,8.778479746183459,0,0,22,8,164.99754981929902,0,0,0,0
394,124,23.065044323935826,8.488705318981292,0,0,22,7,none,23.065044323935826,8.488705318981292,0,0,22,7,164.99754981929902,0,0,0,0
