,count,mean,std,min,25%,50%,75%,max
trindade,76133.0,0.5053787450908279,0.8023327339388167,0.0,0.0,0.0,1.0,7.0
trindade-300,154996.0,1.022142506903404,1.2011478937105509,0.0,0.0,1.0,2.0,10.0
trindade-long-trains,74060.0,0.2678638941398866,0.551168202501342,0.0,0.0,0.0,0.0,5.0
trindade-long-trains-300,151718.0,0.6576806970827456,0.9810496540951248,0.0,0.0,0.0,1.0,12.0
trindade-no-elevators,89674.0,0.5717599304146129,0.772888236376752,0.0,0.0,0.0,1.0,4.0
trindade-no-elevators-300,188279.0,1.066767934820134,1.1239474381280703,0.0,0.0,1.0,2.0,6.0
trindade-single-stairs,108593.0,0.5050049266527309,0.7529687438808431,0.0,0.0,0.0,1.0,6.0
trindade-single-stairs-300,181658.0,1.031069372116835,1.0852472668640791,0.0,0.0,1.0,2.0,6.0
trindade-escalators,76905.0,0.5507054157727066,0.882685697316722,0.0,0.0,0.0,1.0,7.0
trindade-escalators-300,149388.0,0.9064449621120839,1.2084692762869027,0.0,0.0,0.0,1.0,10.0
